,h,m,s,RA,d,m.1,s.1,DEC,F60,F100,Td,B,M,Av
161,4,38,37.79,69.6574583333333,44,56,42.9,44.94525,4.2352,21.217,23.046451272506,7.725222958756229e-16,2.8363218544638e+28,5.5807540487173846e-05
162,4,38,37.09,69.6545416666667,44,55,19.7,44.9221388888889,4.2992,21.799,22.9799033769406,7.58651509112566e-16,2.88669455847982e+28,5.838665760249384e-05
163,4,38,37.14,69.65475,44,53,52.6,44.8979444444444,4.3509,22.472,22.8788478655188,7.37915106396685e-16,2.96621611749418e+28,6.188051726296884e-05
164,4,38,22.38,69.59325,45,9,53.9,45.1649722222222,4.7954,23.241,23.2311142700225,8.119160096208701e-16,2.71189815597242e+28,5.8165186211045494e-05
165,4,38,23.55,69.598125,45,8,38.7,45.1440833333333,4.8253,23.24,23.2663529023732,8.19585493628041e-16,2.68527834380692e+28,5.761842685725327e-05
166,4,38,23.25,69.596875,45,6,32.0,45.1088888888889,4.8361,23.326,23.258134547872,8.17792433613905e-16,2.68906794111565e+28,5.795843435862924e-05
167,4,38,24.42,69.60175,45,5,16.8,45.088,4.8086,23.195,23.2577358967596,8.17705524757653e-16,2.6881083676326e+28,5.7639071501691674e-05
168,4,38,24.86,69.6035833333333,45,3,37.8,45.0605,4.6727,22.438,23.2831863290413,8.23266502733179e-16,2.66832235493871e+28,5.538137323168879e-05
169,4,38,26.03,69.6084583333333,45,2,10.8,45.0363333333333,4.5238,21.658,23.3001187713389,8.269804751598801e-16,2.65491427216729e+28,5.321616635722837e-05
170,4,38,26.09,69.6087083333333,45,0,35.8,45.0099444444444,4.3436,21.232,23.1831750285064,8.01560861397454e-16,2.73750365020744e+28,5.38238503280386e-05
171,4,38,29.12,69.6213333333333,44,59,16.8,44.988,4.1327,20.966,22.9769553677631,7.58041011157576e-16,2.8932550350244e+28,5.620082915303026e-05
172,4,38,29.54,69.6230833333333,44,58,13.4,44.9703888888889,4.0514,20.966,22.8682083668462,7.35754728032463e-16,2.97972589376841e+28,5.7903123790059574e-05
173,4,38,29.95,69.6247916666667,44,56,58.2,44.9495,4.152,20.962,23.0036583730479,7.63583150670677e-16,2.8697975594387e+28,5.578228685132469e-05
174,4,38,29.62,69.6234166666667,44,55,54.8,44.9318888888889,4.2902,21.51,23.0419574039049,7.71580218637618e-16,2.8389407239926e+28,5.664728141241415e-05
175,4,38,28.93,69.6205416666667,44,54,19.8,44.9055,4.4805,22.401,23.0575288561442,7.748479086082839e-16,2.82530803507333e+28,5.874490856028203e-05
176,4,38,28.62,69.61925,44,52,36.8,44.8768888888889,4.691,23.311,23.0913124524015,7.81969871073871e-16,2.79779219808352e+28,6.0574491641429695e-05
177,4,38,16.25,69.5677083333333,45,3,49.1,45.0636388888889,4.7155,22.89,23.2222109541104,8.09986004203673e-16,2.71226098427101e+28,5.74232615631054e-05
178,4,38,17.45,69.5727083333333,45,2,2.3,45.0339722222222,4.5461,21.955,23.2510077297111,8.16239681827365e-16,2.68970892847742e+28,5.4655757318999854e-05
179,4,38,18.99,69.579125,45,0,39.2,45.0108888888889,4.344,21.346,23.1537484125288,7.9524926291804095e-16,2.75928809844355e+28,5.454229823242951e-05
180,4,38,20.91,69.587125,44,59,16.2,44.9878333333333,4.1024,21.095,22.9029924881223,7.42833834283188e-16,2.95247435686774e+28,5.770419282080663e-05
181,4,38,20.95,69.5872916666667,44,58,20.8,44.9724444444445,4.1024,21.095,22.9029924881223,7.42833834283188e-16,2.95146441047871e+28,5.770419282080663e-05
182,4,38,21.36,69.589,44,57,13.5,44.95375,4.1805,21.339,22.9432694508003,7.51088870646668e-16,2.91781217808088e+28,5.773009181875288e-05
183,4,38,20.69,69.5862083333333,44,55,22.5,44.9229166666667,4.3692,22.021,23.0130577680469,7.655405361611801e-16,2.86076699673506e+28,5.845049590180729e-05
184,4,38,19.99,69.5832916666667,44,54,7.3,44.9020277777778,4.5953,23.042,23.0414043399774,7.71464330655384e-16,2.83748018044527e+28,6.069084582160933e-05
185,4,38,8.03,69.5334583333333,45,3,52.4,45.0645555555556,4.7826,23.202,23.2255314781585,8.10705441581758e-16,2.70990918854031e+28,5.815428947208989e-05
186,4,38,8.1,69.53375,45,2,9.5,45.0359722222222,4.6007,22.424,23.1993247954473,8.05039206727398e-16,2.72725184495711e+28,5.659991905293538e-05
187,4,38,9.65,69.5402083333333,45,0,54.4,45.0151111111111,4.3922,21.757,23.108956628415,7.85707141728624e-16,2.79306060374642e+28,5.62675674568025e-05
188,4,38,12.35,69.5514583333333,44,58,36.0,44.9766666666667,4.1829,21.553,22.8918165960749,7.40554308351453e-16,2.96082736571475e+28,5.913846146576862e-05
189,4,38,13.16,69.5548333333333,44,57,12.9,44.9535833333333,4.2784,21.997,22.903740564612,7.429865892625569e-16,2.94962003367685e+28,6.015911850687505e-05
190,4,38,12.46,69.5519166666667,44,55,57.6,44.9326666666667,4.5295,22.702,23.0438552165006,7.71977973056758e-16,2.83752710355042e+28,5.975555472259586e-05
191,4,38,1.0,69.5041666666667,45,2,8.9,45.0358055555556,4.6897,22.724,23.2322826059103,8.121695060341069e-16,2.70329841288835e+28,5.6853578219828727e-05
192,4,38,1.07,69.5044583333333,45,0,33.9,45.0094166666667,4.5135,22.131,23.165830003898,7.978364864922e-16,2.75025032251777e+28,5.636466794478601e-05
193,4,38,3.4,69.5141666666667,44,58,39.2,44.9775555555556,4.3065,22.116,22.9100326418037,7.44272263233123e-16,2.94609500370568e+28,6.0380079843880274e-05
194,4,38,3.83,69.5159583333333,44,57,20.1,44.9555833333333,4.4245,22.925,22.8615036386274,7.34395541717476e-16,2.9842578089978e+28,6.343041989920195e-05
195,4,37,53.17,69.4715416666667,45,1,52.4,45.0312222222222,4.787,23.138,23.2462378548696,8.15201567812401e-16,2.69296966745935e+28,5.7674034687815734e-05
196,4,37,53.24,69.4718333333333,45,0,29.3,45.0081388888889,4.7069,22.922,23.2041232295481,8.06074671344495e-16,2.72206513796225e+28,5.778255396449161e-05
197,4,37,53.68,69.4736666666667,44,59,2.2,44.9839444444445,4.5735,22.614,23.1190568565323,7.87851972805084e-16,2.78352829713902e+28,5.832465029520506e-05
198,4,37,56.37,69.484875,44,57,15.5,44.9543055555556,4.6398,23.243,23.0466695121887,7.72568066770584e-16,2.83672524363338e+28,6.113278790087495e-05
199,4,37,44.64,69.436,45,0,36.4,45.0101111111111,4.8512,23.385,23.2614669577696,8.18519168860837e-16,2.68079721595843e+28,5.8053440239569376e-05
